Local time: +3:00 UTC
ProcessId: 8472
(5008) 19:42:22.316  d: SteamAPI_Init() failed
(5008) 19:42:23.676  d: [ResourceCollection] collect talents
(5008) 19:42:25.309  d: [ResourceCollection] collect consumables
(5008) 19:42:25.389  d: [ResourceCollection] collect marketingItems
(5008) 19:42:26.639  m: Cannot read configuration file "D:\Games\Prime World\PvP\Profiles\autoexec.cfg"
(5008) 19:42:27.276  d: OnDeviceChanged
(5008) 19:42:27.276  d: NotifyDeviceCreate
(5008) 19:42:27.320  d: DepthFormat: INTZ
(5008) 19:42:27.353  m: setvar mipmaplodbias = "0"
(5008) 19:42:28.110  d: FMOD Init OK
(5008) 19:42:28.890  d: Loaded info for map 'Maps/Multiplayer/MOBA/_.ADMP.xdb', max players per team: 5 / 5
(5008) 19:42:28.891  m: Executing "replay.cfg"
(5008) 19:42:28.937  m: Executing "spectator.cfg"
(5008) 19:42:28.959  d: [ResourceCollection] collect talents
(5008) 19:42:28.991  d: [ResourceCollection] collect consumables
(5008) 19:42:32.724  d: MemoryPool: megapool; allocated size: 20971520; payload: 20889600
(5008) 19:42:32.724  d: MemoryPool: megapool; new allocated size: 31457280
(5008) 19:42:35.108  d: MemoryPool: megapool; allocated size: 31457280; payload: 31252992
(5008) 19:42:35.108  d: MemoryPool: megapool; new allocated size: 41943040
(5008) 19:42:37.993  d: MemoryPool: megapool; allocated size: 41943040; payload: 41936384
(5008) 19:42:37.993  d: MemoryPool: megapool; new allocated size: 52428800
(5008) 19:42:40.167  d: MemoryPool: megapool; allocated size: 52428800; payload: 52427776
(5008) 19:42:40.167  d: MemoryPool: megapool; new allocated size: 62914560
(5008) 19:42:41.804  d: MemoryPool: megapool; allocated size: 62914560; payload: 62872064
(5008) 19:42:41.804  d: MemoryPool: megapool; new allocated size: 73400320
(5008) 19:42:43.418  d: MemoryPool: megapool; allocated size: 73400320; payload: 73320448
(5008) 19:42:43.419  d: MemoryPool: megapool; new allocated size: 83886080
(5008) 19:42:44.789  d: Player behaviour tracking is disabled in replay mode
(23696) 19:42:44.791  d: P: start
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 2 playerId 0 userID 5599879
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 1 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 2 playerId 2 userID 4932777
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 3 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 4 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 5 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 6 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 7 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 8 userID -1
(5008) 19:42:44.803  d: complaintsToday 0 complaintsMax 0 playerId 9 userID -1
(5008) 19:42:44.803  d: Player [minus]Вера Заморочкина with hero Павший владыка team 0 (local)
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player [N_H]За_соточку with hero Ведьмак team 1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.803  d: Player  with hero  team -1
(5008) 19:42:44.837  d: Movie::SetViewport (w,h) = (1281, 1025)
(5008) 19:42:45.282  d: Failed to open file  with error 3.
(5008) 19:42:45.282  d: Cannot load ttf font: DejaVu LGC Sans
(5008) 19:42:45.368  d: Failed to open file  with error 3.
(5008) 19:42:45.368  d: Cannot load ttf font: _sans
(5008) 19:42:45.405  d: Window FlashScreen got focus
(5008) 19:42:45.406  d: Movie::SetViewport (w,h) = (1281, 1025)
(5008) 19:42:45.408  d: Movie::SetViewport (w,h) = (1639, 1025)
(5008) 19:42:45.421  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(5008) 19:42:45.421  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(5008) 19:42:45.628  d:  AddUser: 2438854131 wraithking
(5008) 19:42:45.636  d:  AddUser: 1591502017 witcher
(5008) 19:42:45.674  m: Virtual Memory Usage: 757 mb
(5008) 19:42:45.923  d: Movie::SetViewport (w,h) = (1281, 1027)
(5008) 19:42:46.172  d: Overriding font 2314 name 'DejaVu LGC Sans' with 'DejaVu LGC Sans Bold'
(5008) 19:42:47.002  d: Failed to open file  with error 3.
(5008) 19:42:47.002  d: Cannot load ttf font: DejaVu LGC Sans Bold
(5008) 19:42:47.447  d: Window FlashScreen losing focus
(5008) 19:42:47.447  d: Window FlashScreen got focus
(5008) 19:42:47.447  d: Movie::SetViewport (w,h) = (1281, 1027)
(5008) 19:42:47.464  d: Movie::SetViewport (w,h) = (1639, 1027)
(5008) 19:42:47.538  d: Movie::SetViewport (w,h) = (1639, 1025)
(22144) 19:42:47.860  m: Loading baked geometry from file: /Maps/Multiplayer/MOBA/_.baked_terrain
(22144) 19:42:49.137  d: WarFogUnblock: 0.000
(22144) 19:42:50.948  d: MemoryPool: megapool; allocated size: 83886080; payload: 83831808
(22144) 19:42:50.948  d: MemoryPool: megapool; new allocated size: 94371840
(22144) 19:42:51.257  d: SimpleObject: 2.120
(22144) 19:42:51.258  d: GameObject: 0.000
(22144) 19:42:51.864  d: Road: 0.606
(22144) 19:42:51.951  d: Flagpole: 0.088
(22144) 19:42:51.952  d: Flagpole: 0.000
(22144) 19:42:52.496  d: AdvMapCreepSpawner: 0.544
(22144) 19:42:52.874  d: MemoryPool: megapool; allocated size: 94371840; payload: 93716992
(22144) 19:42:52.874  d: MemoryPool: megapool; new allocated size: 104857600
(22144) 19:42:53.134  d: AdvMapNeutralCreepSpawner: 0.638
(22144) 19:42:54.005  d: TreeObject: 0.870
(22144) 19:42:55.421  d: MultiStateObject: 1.416
(22144) 19:42:55.421  d: UsableBuilding: 0.000
(22144) 19:42:55.832  d: Building: 0.411
(22144) 19:42:55.832  d: GlyphSpawner: 0.000
(22144) 19:42:56.097  d: MemoryPool: megapool; allocated size: 104857600; payload: 104833024
(22144) 19:42:56.097  d: MemoryPool: megapool; new allocated size: 115343360
(22144) 19:42:56.141  d: Shop: 0.309
(22144) 19:42:56.326  d: MinigamePlace: 0.185
(22144) 19:42:56.353  d: Critter: 0.027
(22144) 19:42:56.564  d: Tower: 0.211
(22144) 19:42:56.570  d: AdvMapObstacle: 0.005
(22144) 19:42:57.353  d: SpawnHeroes:FindPlayers: 0.000
(22144) 19:42:57.353  d: SpawnHeroes:FindPlace: 0.000
(22144) 19:42:57.659  d: Start preloading hero's (Dummy name) resources
(22144) 19:42:57.745  d: SpawnHeroes:CreateHero:0: 0.392
(22144) 19:42:57.852  d: Start preloading hero's (Dummy name) resources
(22144) 19:42:57.985  d: SpawnHeroes:CreateHero:2: 0.240
(22144) 19:42:58.184  d: resources[0]: Creeps/A/SuperHeavy/InventorSummon.CREEP.xdb
(22144) 19:42:58.326  d: MemoryPool: megapool; allocated size: 115343360; payload: 115339264
(22144) 19:42:58.326  d: MemoryPool: megapool; new allocated size: 125829120
(22144) 19:42:59.149  d: Map StatsCoeffFromForce = 1.544
(22144) 19:42:59.184  d: Map 'Maps/Multiplayer/MOBA/_.ADMP.xdb' loaded
(5008) 19:42:59.210  d: Stopping thread. tid=22144, from_tid=5008, ptr=44a5cd80
(5008) 19:42:59.210  d: Thread stopped. tid=22144, ptr=44a5cd80
(5008) 19:43:00.487  d: Easel::PrefetchData: 1.260
(5008) 19:43:00.588  d: complaintsToday 2 complaintsMax 2
(5008) 19:43:00.601  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:00.602  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:00.603  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:00.621  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:00.621  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:00.668  d: GameStatistics:NULL!
(5008) 19:43:01.018  d: Movie::SetViewport (w,h) = (1639, 1027)
(5008) 19:43:13.343  d: Pump messages lag
(5008) 19:43:13.354  d: AltTabChecker: acquire focus
(5008) 19:43:14.104  d:  TRACE FROM FLASH ContextItemSwitchToSpectate 2 
(5008) 19:43:14.823  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:14.823  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:14.841  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:14.841  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:14.841  d:  TRACE FROM FLASH SetHero 
(5008) 19:43:15.682  m: Virtual Memory Usage: 1522 mb
(5008) 19:43:16.934  d: Pump messages lag
(5008) 19:43:21.039  d: RunCommand: render_apply_present_params
(5008) 19:43:21.039  d: RestartRender
(5008) 19:43:21.051  d: NotifyDeviceLost
(5008) 19:43:21.056  d: Device lost!
(5008) 19:43:21.056  d: NotifyDeviceLost
(5008) 19:43:21.058  d: Try to reset
(5008) 19:43:21.058  d: Before device reset
(5008) 19:43:21.103  d: After device reset
(5008) 19:43:21.103  d: OnDeviceChanged
(5008) 19:43:21.103  d: NotifyDeviceReset
(5008) 19:43:21.170  d: RecoverFromDeviceLost finished
(5008) 19:43:21.170  d: DepthFormat: INTZ
(5008) 19:43:21.180  d: Movie::SetViewport (w,h) = (1707, 1027)
(5008) 19:43:23.467  d: Pump messages lag
(5008) 19:43:23.467  d: Re-acquiring input device 'Мышь'...
(5008) 19:43:23.467  d: Re-acquiring input device 'Клавиатура'...
(5008) 19:43:23.486  d: AltTabChecker: lost focus
(5008) 19:43:25.860  d: Pump messages lag
(5008) 19:43:25.870  d: AltTabChecker: acquire focus
(5008) 19:43:30.144  m: timescale: 2.000000
(5008) 19:43:30.270  m: timescale: 4.000000
(5008) 19:43:39.438  m: timescale: 2.000000
(5008) 19:43:41.255  m: timescale: 4.000000
(5008) 19:43:44.455  m: timescale: 2.000000
(5008) 19:43:44.954  m: timescale: 4.000000
(5008) 19:43:45.683  m: Virtual Memory Usage: 1529 mb
(5008) 19:43:46.138  m: timescale: 2.000000
(5008) 19:43:46.371  m: timescale: 1.000000
(5008) 19:43:46.637  m: timescale: 0.500000
(5008) 19:43:47.604  m: timescale: 1.000000
(5008) 19:43:49.872  m: timescale: 0.500000
(5008) 19:43:50.639  m: timescale: 1.000000
(5008) 19:43:52.189  m: timescale: 0.500000
(5008) 19:43:53.693  d: Re-acquiring input device 'Мышь'...
(5008) 19:43:53.693  d: Re-acquiring input device 'Клавиатура'...
(5008) 19:43:53.710  d: AltTabChecker: lost focus
(5008) 19:44:15.685  m: Virtual Memory Usage: 1534 mb
(5008) 19:44:45.685  m: Virtual Memory Usage: 1536 mb
(5008) 19:45:15.687  m: Virtual Memory Usage: 1537 mb
(5008) 19:45:45.687  m: Virtual Memory Usage: 1538 mb
(5008) 19:46:13.162  d: Nature map advance, B on Center targeted at 26
(5008) 19:46:13.162  d: Nature map state, A @ 0->0->0, B @ 0->0->0
(5008) 19:46:14.561  d: Nature map advance, A on Center targeted at 4
(5008) 19:46:14.561  d: Nature map state, A @ 0->0->0, B @ 18->21->50
(5008) 19:46:15.689  m: Virtual Memory Usage: 1542 mb
(5008) 19:46:20.963  d: Nature map advance, A on Bottom targeted at 3
(5008) 19:46:20.963  d: Nature map state, A @ 0->0->0, B @ 0->0->0
(5008) 19:46:21.563  d: Nature map advance, B on Bottom targeted at 26
(5008) 19:46:21.563  d: Nature map state, A @ 6->9->40, B @ 0->0->0
(5008) 19:46:21.563  d: Nature map advance, B on Top targeted at 27
(5008) 19:46:21.563  d: Nature map state, A @ 0->0->0, B @ 0->0->0
(5008) 19:46:23.774  d: AltTabChecker: acquire focus
(5008) 19:46:25.562  d: Nature map advance, A on Top targeted at 4
(5008) 19:46:25.562  d: Nature map state, A @ 0->0->0, B @ 39->40->40
(5008) 19:46:25.987  d: Re-acquiring input device 'Мышь'...
(5008) 19:46:25.987  d: Re-acquiring input device 'Клавиатура'...
(5008) 19:46:26.003  d: AltTabChecker: lost focus
(5008) 19:46:36.345  d: Nature map advance, B on Center targeted at 20
(5008) 19:46:36.345  d: Nature map state, A @ 48->50->50, B @ 48->50->50
(5008) 19:46:37.146  d: Nature map advance, A on Center targeted at 10
(5008) 19:46:37.146  d: Nature map state, A @ 48->50->50, B @ 59->62->110
(5008) 19:46:45.690  m: Virtual Memory Usage: 1542 mb
(5008) 19:46:45.746  d: Nature map advance, B on Bottom targeted at 21
(5008) 19:46:45.746  d: Nature map state, A @ 39->40->40, B @ 48->50->50
(5008) 19:46:48.745  d: Nature map advance, A on Bottom targeted at 9
(5008) 19:46:48.745  d: Nature map state, A @ 39->40->40, B @ 92->95->100
(5008) 19:46:50.547  d: Nature map advance, B on Top targeted at 21
(5008) 19:46:50.547  d: Nature map state, A @ 48->50->50, B @ 39->40->40
(5008) 19:46:52.546  d: Nature map advance, A on Top targeted at 9
(5008) 19:46:52.546  d: Nature map state, A @ 48->50->50, B @ 67->70->100
(5008) 19:47:13.131  d: Nature map advance, B on Bottom targeted at 15
(5008) 19:47:13.131  d: Nature map state, A @ 97->100->100, B @ 98->100->100
(5008) 19:47:15.691  m: Virtual Memory Usage: 1543 mb
(5008) 19:47:27.730  d: Nature map advance, B on Center targeted at 15
(5008) 19:47:27.730  d: Nature map state, A @ 107->110->110, B @ 107->110->110
(23696) 19:47:36.536  W: P: failed to allocate result
(23696) 19:47:36.739  W: P: failed to allocate result
(23696) 19:47:36.937  W: P: failed to allocate result
(23696) 19:47:37.138  W: P: failed to allocate result
(23696) 19:47:37.338  W: P: failed to allocate result
(23696) 19:47:37.537  W: P: failed to allocate result
(23696) 19:47:37.740  W: P: failed to allocate result
(23696) 19:47:37.937  W: P: failed to allocate result
(23696) 19:47:38.136  W: P: failed to allocate result
(23696) 19:47:38.337  W: P: failed to allocate result
(23696) 19:47:38.536  W: P: failed to allocate result
(23696) 19:47:38.736  W: P: failed to allocate result
(23696) 19:47:38.936  W: P: failed to allocate result
(23696) 19:47:39.136  W: P: failed to allocate result
(23696) 19:47:39.336  W: P: failed to allocate result
(23696) 19:47:39.535  W: P: failed to allocate result
(23696) 19:47:39.735  W: P: failed to allocate result
(23696) 19:47:39.936  W: P: failed to allocate result
(23696) 19:47:40.135  W: P: failed to allocate result
(23696) 19:47:40.335  W: P: failed to allocate result
(23696) 19:47:40.536  W: P: failed to allocate result
(23696) 19:47:40.737  W: P: failed to allocate result
(23696) 19:47:40.935  W: P: failed to allocate result
(23696) 19:47:41.135  W: P: failed to allocate result
(23696) 19:47:41.334  W: P: failed to allocate result
(23696) 19:47:41.537  W: P: failed to allocate result
(23696) 19:47:41.737  W: P: failed to allocate result
(23696) 19:47:41.936  W: P: failed to allocate result
(23696) 19:47:42.135  W: P: failed to allocate result
(23696) 19:47:42.336  W: P: failed to allocate result
(23696) 19:47:42.535  W: P: failed to allocate result
(23696) 19:47:42.737  W: P: failed to allocate result
(23696) 19:47:42.938  W: P: failed to allocate result
(23696) 19:47:43.136  W: P: failed to allocate result
(23696) 19:47:43.337  W: P: failed to allocate result
(23696) 19:47:43.538  W: P: failed to allocate result
(23696) 19:47:43.736  W: P: failed to allocate result
(23696) 19:47:43.936  W: P: failed to allocate result
(23696) 19:47:44.137  W: P: failed to allocate result
(23696) 19:47:44.335  W: P: failed to allocate result
(23696) 19:47:44.537  W: P: failed to allocate result
(23696) 19:47:44.736  W: P: failed to allocate result
(23696) 19:47:44.935  W: P: failed to allocate result
(23696) 19:47:45.136  W: P: failed to allocate result
(23696) 19:47:45.335  W: P: failed to allocate result
(23696) 19:47:45.535  W: P: failed to allocate result
(5008) 19:47:45.692  m: Virtual Memory Usage: 1545 mb
(23696) 19:47:45.734  W: P: failed to allocate result
(23696) 19:47:45.935  W: P: failed to allocate result
(23696) 19:47:46.134  W: P: failed to allocate result
(23696) 19:47:46.334  W: P: failed to allocate result
(23696) 19:47:46.534  W: P: failed to allocate result
(23696) 19:47:46.734  W: P: failed to allocate result
(23696) 19:47:46.935  W: P: failed to allocate result
(23696) 19:47:47.145  W: P: failed to allocate result
(23696) 19:47:47.337  W: P: failed to allocate result
(23696) 19:47:47.536  W: P: failed to allocate result
(23696) 19:47:47.735  W: P: failed to allocate result
(23696) 19:47:47.939  W: P: failed to allocate result
(23696) 19:47:48.135  W: P: failed to allocate result
(23696) 19:47:48.335  W: P: failed to allocate result
(23696) 19:47:48.536  W: P: failed to allocate result
(23696) 19:47:48.735  W: P: failed to allocate result
(23696) 19:47:48.935  W: P: failed to allocate result
(23696) 19:47:49.136  W: P: failed to allocate result
(23696) 19:47:49.336  W: P: failed to allocate result
(23696) 19:47:49.536  W: P: failed to allocate result
(23696) 19:47:49.736  W: P: failed to allocate result
(23696) 19:47:49.936  W: P: failed to allocate result
(23696) 19:47:50.139  W: P: failed to allocate result
(23696) 19:47:50.337  W: P: failed to allocate result
(23696) 19:47:50.537  W: P: failed to allocate result
(23696) 19:47:50.738  W: P: failed to allocate result
(23696) 19:47:50.939  W: P: failed to allocate result
(23696) 19:47:51.136  W: P: failed to allocate result
(23696) 19:47:51.338  W: P: failed to allocate result
(23696) 19:47:51.538  W: P: failed to allocate result
(23696) 19:47:51.740  W: P: failed to allocate result
(23696) 19:47:51.936  W: P: failed to allocate result
(23696) 19:47:52.138  W: P: failed to allocate result
(23696) 19:47:52.335  W: P: failed to allocate result
(23696) 19:47:52.536  W: P: failed to allocate result
(23696) 19:47:52.736  W: P: failed to allocate result
(23696) 19:47:52.935  W: P: failed to allocate result
(23696) 19:47:53.137  W: P: failed to allocate result
(23696) 19:47:53.336  W: P: failed to allocate result
(23696) 19:47:53.536  W: P: failed to allocate result
(23696) 19:47:53.738  W: P: failed to allocate result
(23696) 19:47:53.923  W: P: failed to allocate result
(23696) 19:47:54.137  W: P: failed to allocate result
(23696) 19:47:54.336  W: P: failed to allocate result
(23696) 19:47:54.535  W: P: failed to allocate result
(23696) 19:47:54.735  W: P: failed to allocate result
(23696) 19:47:54.937  W: P: failed to allocate result
(23696) 19:47:55.137  W: P: failed to allocate result
(23696) 19:47:55.336  W: P: failed to allocate result
(23696) 19:47:55.537  W: P: failed to allocate result
(23696) 19:47:55.737  W: P: failed to allocate result
(23696) 19:47:55.940  W: P: failed to allocate result
(23696) 19:47:56.119  W: P: failed to allocate result
(23696) 19:47:56.321  W: P: failed to allocate result
(23696) 19:47:56.520  W: P: failed to allocate result
(23696) 19:47:56.720  W: P: failed to allocate result
(23696) 19:47:56.922  W: P: failed to allocate result
(23696) 19:47:57.120  W: P: failed to allocate result
(23696) 19:47:57.320  W: P: failed to allocate result
(23696) 19:47:57.521  W: P: failed to allocate result
(23696) 19:47:57.721  W: P: failed to allocate result
(23696) 19:47:57.921  W: P: failed to allocate result
(23696) 19:47:58.121  W: P: failed to allocate result
(23696) 19:47:58.320  W: P: failed to allocate result
(23696) 19:47:58.520  W: P: failed to allocate result
(23696) 19:47:58.719  W: P: failed to allocate result
(23696) 19:47:58.919  W: P: failed to allocate result
(23696) 19:47:59.122  W: P: failed to allocate result
(23696) 19:47:59.319  W: P: failed to allocate result
(23696) 19:47:59.520  W: P: failed to allocate result
(23696) 19:47:59.721  W: P: failed to allocate result
(23696) 19:47:59.923  W: P: failed to allocate result
(23696) 19:48:00.121  W: P: failed to allocate result
(23696) 19:48:00.320  W: P: failed to allocate result
(23696) 19:48:00.521  W: P: failed to allocate result
(23696) 19:48:00.722  W: P: failed to allocate result
(23696) 19:48:00.920  W: P: failed to allocate result
(23696) 19:48:01.122  W: P: failed to allocate result
(23696) 19:48:01.322  W: P: failed to allocate result
(23696) 19:48:01.521  W: P: failed to allocate result
(23696) 19:48:01.721  W: P: failed to allocate result
(23696) 19:48:01.922  W: P: failed to allocate result
(23696) 19:48:02.120  W: P: failed to allocate result
(23696) 19:48:02.319  W: P: failed to allocate result
(23696) 19:48:02.524  W: P: failed to allocate result
(23696) 19:48:02.722  W: P: failed to allocate result
(23696) 19:48:02.921  W: P: failed to allocate result
(23696) 19:48:03.121  W: P: failed to allocate result
(23696) 19:48:03.322  W: P: failed to allocate result
(23696) 19:48:03.520  W: P: failed to allocate result
(23696) 19:48:03.720  W: P: failed to allocate result
(23696) 19:48:03.920  W: P: failed to allocate result
(23696) 19:48:04.121  W: P: failed to allocate result
(23696) 19:48:04.320  W: P: failed to allocate result
(23696) 19:48:04.520  W: P: failed to allocate result
(23696) 19:48:04.720  W: P: failed to allocate result
(23696) 19:48:04.920  W: P: failed to allocate result
(23696) 19:48:05.120  W: P: failed to allocate result
